2020-01-22,Somalia,0,0,0
2020-01-23,Somalia,0,0,0
2020-01-24,Somalia,0,0,0
2020-01-25,Somalia,0,0,0
2020-01-26,Somalia,0,0,0
2020-01-27,Somalia,0,0,0
2020-01-28,Somalia,0,0,0
2020-01-29,Somalia,0,0,0
2020-01-30,Somalia,0,0,0
2020-01-31,Somalia,0,0,0
2020-02-01,Somalia,0,0,0
2020-02-02,Somalia,0,0,0
2020-02-03,Somalia,0,0,0
2020-02-04,Somalia,0,0,0
2020-02-05,Somalia,0,0,0
2020-02-06,Somalia,0,0,0
2020-02-07,Somalia,0,0,0
2020-02-08,Somalia,0,0,0
2020-02-09,Somalia,0,0,0
2020-02-10,Somalia,0,0,0
2020-02-11,Somalia,0,0,0
2020-02-12,Somalia,0,0,0
2020-02-13,Somalia,0,0,0
2020-02-14,Somalia,0,0,0
2020-02-15,Somalia,0,0,0
2020-02-16,Somalia,0,0,0
2020-02-17,Somalia,0,0,0
2020-02-18,Somalia,0,0,0
2020-02-19,Somalia,0,0,0
2020-02-20,Somalia,0,0,0
2020-02-21,Somalia,0,0,0
2020-02-22,Somalia,0,0,0
2020-02-23,Somalia,0,0,0
2020-02-24,Somalia,0,0,0
2020-02-25,Somalia,0,0,0
2020-02-26,Somalia,0,0,0
2020-02-27,Somalia,0,0,0
2020-02-28,Somalia,0,0,0
2020-02-29,Somalia,0,0,0
2020-03-01,Somalia,0,0,0
2020-03-02,Somalia,0,0,0
2020-03-03,Somalia,0,0,0
2020-03-04,Somalia,0,0,0
2020-03-05,Somalia,0,0,0
2020-03-06,Somalia,0,0,0
2020-03-07,Somalia,0,0,0
2020-03-08,Somalia,0,0,0
2020-03-09,Somalia,0,0,0
2020-03-10,Somalia,0,0,0
2020-03-11,Somalia,0,0,0
2020-03-12,Somalia,0,0,0
2020-03-13,Somalia,0,0,0
2020-03-14,Somalia,0,0,0
2020-03-15,Somalia,0,0,0
2020-03-16,Somalia,1,0,0
2020-03-17,Somalia,1,0,0
2020-03-18,Somalia,1,0,0
2020-03-19,Somalia,1,0,0
2020-03-20,Somalia,1,0,0
2020-03-21,Somalia,1,0,0
2020-03-22,Somalia,1,0,0
2020-03-23,Somalia,1,0,0
2020-03-24,Somalia,1,0,0
2020-03-25,Somalia,1,0,0
2020-03-26,Somalia,2,0,0
2020-03-27,Somalia,3,0,0
2020-03-28,Somalia,3,0,0
2020-03-29,Somalia,3,0,0
2020-03-30,Somalia,3,0,0
2020-03-31,Somalia,5,1,0
2020-04-01,Somalia,5,1,0
2020-04-02,Somalia,5,1,0
2020-04-03,Somalia,7,1,0
2020-04-04,Somalia,7,1,0
2020-04-05,Somalia,7,1,0
2020-04-06,Somalia,7,1,0
2020-04-07,Somalia,8,1,0
2020-04-08,Somalia,12,1,1
2020-04-09,Somalia,12,1,1
2020-04-10,Somalia,21,1,1
2020-04-11,Somalia,21,1,1
2020-04-12,Somalia,25,2,1
2020-04-13,Somalia,60,2,2
2020-04-14,Somalia,60,2,2
2020-04-15,Somalia,80,2,5
2020-04-16,Somalia,80,2,5
2020-04-17,Somalia,116,2,6
2020-04-18,Somalia,135,2,7
2020-04-19,Somalia,164,3,7
2020-04-20,Somalia,237,4,8
2020-04-21,Somalia,286,4,8
2020-04-22,Somalia,286,4,8
2020-04-23,Somalia,328,8,16
2020-04-24,Somalia,328,8,16
2020-04-25,Somalia,390,8,18
2020-04-26,Somalia,436,10,23
2020-04-27,Somalia,480,10,26
2020-04-28,Somalia,528,19,28
2020-04-29,Somalia,582,20,28
2020-04-30,Somalia,601,31,28
2020-05-01,Somalia,601,31,28
2020-05-02,Somalia,671,34,31
2020-05-03,Somalia,722,44,32
2020-05-04,Somalia,756,61,35
2020-05-05,Somalia,835,75,38
2020-05-06,Somalia,873,87,39
2020-05-07,Somalia,928,106,44
2020-05-08,Somalia,928,106,44
2020-05-09,Somalia,997,110,48
2020-05-10,Somalia,1054,118,51
2020-05-11,Somalia,1089,121,52
2020-05-12,Somalia,1170,126,52
2020-05-13,Somalia,1219,130,52
2020-05-14,Somalia,1284,135,53
